video_url,title,user_url,username,view_num,view_num_raw,created_at,created_at_raw,shortdesc,collected_at
https://www.youtube.com/watch?v=7UAcioNmZ8U&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,US to suspend immigrant visa processing from 75 countries over public assistance concerns,https://www.youtube.com/@abc7NY,Eyewitness News ABC7NY,23000,23K views,2026-01-15 05:31:55.067753+00:00,4 months ago,Michelle Charlesworth reports on the visa suspensions. Check out more Eyewitness News - http://abc7ny.com/ Find us on social...,2026-05-15 05:31:55.067753+00:00
https://www.youtube.com/watch?v=QwmX3wiJmAk&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Trump orders pause of migration from 'Third World countries',https://www.youtube.com/@CNN,CNN,55000,55K views,2025-12-16 05:31:55.068248+00:00,5 months ago,"President Donald Trump is doubling down on the aggressive anti- immigration policies that helped deliver him a second term,...",2026-05-15 05:31:55.068248+00:00
https://www.youtube.com/shorts/MUfPBWr6u1U,Is ICE Racist? | US Immigration #SOC119 #ICE #Racism #Immigration #Discrimination,https://www.youtube.com/@SOC119,SOC 119,16000,16K views,2026-02-14 05:31:55.068749+00:00,3 months ago,"This is a short taken from the sixth class of the Spring 2026 semester. The original live stream, which was broadcast at Penn...",2026-05-15 05:31:55.068749+00:00
https://www.youtube.com/watch?v=0CCsxwhJEZ0&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,"How many immigrants are in the US, and how many are here illegally? | Monica Guzman X USAFacts",https://www.youtube.com/@USAFacts_Official,USAFacts,29000,29K views,2025-06-19 05:31:55.069192+00:00,11 months ago,"This video is part of a special series from USAFacts and Braver Angels, featuring Monica Guzman on how federal dollars flow to...",2026-05-15 05:31:55.069192+00:00
https://www.youtube.com/shorts/47me-5oZ8sk,?î•Breaking news USA Should Congress Work 5 Days a Week #BreakingNews #USPolitics #Shorts,https://www.youtube.com/@US-PulseNews99,US Pulse News 99,10000,10K views,2026-05-14 15:31:55.069726+00:00,14 hours ago,Breaking news USA : A major debate is going viral across America today. This trending US news covers the latest discussion...,2026-05-15 05:31:55.069726+00:00
https://www.youtube.com/watch?v=Q4M4cCGEbGg&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,"US Revokes Over 100,000 Visas as Trump Tightens Immigration Crackdown | WION",https://www.youtube.com/@WION,WION,21000,21K views,2026-01-15 05:31:55.070218+00:00,4 months ago,"The United States has revoked more than 100000 visas since Donald Trump returned to office, according to the State Department.",2026-05-15 05:31:55.070218+00:00
https://www.youtube.com/shorts/zYUps1TTj1I,"Immigration to the US not ""a human right"" | The Mishal Husain Show",https://www.youtube.com/@BloombergPodcasts,Bloomberg Podcasts,1800,1.8K views,2026-04-15 05:31:55.070882+00:00,1 month ago,""" Immigration to the US is not, after all, a human right."" Author Lionel Shriver tells Mishal Husain that high-profile deportations in the...",2026-05-15 05:31:55.070882+00:00
https://www.youtube.com/watch?v=kdQEg-Zn2HE&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,US Social-Media Vetting Delays H-1b For Indians; Trump Admin Revoked 85k Visas | Spotlight | N18G,https://www.youtube.com/@Firstpost,Firstpost,111000,111K views,2025-12-16 05:31:55.071516+00:00,5 months ago,"Indian H-1B applicants faced major delays after the US State Department expanded its social-media vetting rules, requiring all...",2026-05-15 05:31:55.071516+00:00
https://www.youtube.com/shorts/JwXZpJd1Jko,The anti-immigration guy now wants regime change 90 miles from Florida,https://www.youtube.com/@currentlywithella,Ella Marie,658,658 views,2026-05-14 20:31:55.072111+00:00,9 hours ago,,2026-05-15 05:31:55.072111+00:00
https://www.youtube.com/shorts/eAYO4m5dzzQ,BREAKING NEWS: U.S. to Suspend Immigrant Visas to 75 Countries Indefinitely,https://www.youtube.com/@McBeanImmigrationLaw,McBean Immigration TV,60000,60K views,2026-02-14 05:32:06.638861+00:00,3 months ago,,2026-05-15 05:32:06.638861+00:00
https://www.youtube.com/watch?v=XjH_MeRoV1M&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,"ICE launches 'largest immigration operation ever' in Minneapolis, acting director says",https://www.youtube.com/@NBCMontana,NBC Montana,17000,17K views,2026-01-15 05:32:06.639947+00:00,4 months ago,Acting U.S. Immigration and Customs Enforcement (ICE) Director Todd Lyons announced the agency launched what he described...,2026-05-15 05:32:06.639947+00:00
https://www.youtube.com/shorts/fYtUavYJxao,Protest at hotel where US immigration chief reportedly staying. #BBCNews,https://www.youtube.com/@BBCNews,BBC News,27000,27K views,2026-02-14 05:32:06.640944+00:00,3 months ago,,2026-05-15 05:32:06.640944+00:00
https://www.youtube.com/shorts/fx-_sXIYbgU,2.2 MILLION Illegal migrants have self-deported in the past year #foxnews #news #us #fox,https://www.youtube.com/@FoxNews,Fox News,282000,282K views,2026-02-14 05:32:06.642189+00:00,3 months ago,DHS Secretary Kristi Noem has announced over 2.2 million illegal migrants have self-deported in the last year and an increased...,2026-05-15 05:32:06.642189+00:00
https://www.youtube.com/watch?v=NggLiO2dNNg&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Report: Over 2.5 million illegal migrants have left the US,https://www.youtube.com/@TheNationalDesk,The National Desk,92000,92K views,2025-12-16 05:32:06.645198+00:00,5 months ago,The Department of Homeland Security (DHS) recently agreed to purchase six Boeing 737 planes to assist the Immigration and...,2026-05-15 05:32:06.645198+00:00
https://www.youtube.com/watch?v=zu01A0Z_E6c&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Increased pressure to pull US immigration enforcement: WA leaders discuss ICE,https://www.youtube.com/@fox13seattle,FOX 13 Seattle,3500,3.5K views,2026-02-14 05:32:06.646238+00:00,3 months ago,Frustration is building with Department of Homeland Security (DHS) leadership after two U.S. citizens were killed by federal...,2026-05-15 05:32:06.646238+00:00
https://www.youtube.com/watch?v=mjbTgV0mu2Q&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Trump vows to 'permanently pause' migration from 'third world countries',https://www.youtube.com/@NBCNews,NBC News,174000,174K views,2025-12-16 05:32:06.647215+00:00,5 months ago,"In a social media post, President Trump vowed to ""permanently pause"" migration from ""third world countries"" after the shooting of...",2026-05-15 05:32:06.647215+00:00
https://www.youtube.com/watch?v=mFioZJmpdYc&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,U.S. immigration conducts raid at Minneapolis school on same day as ICE killing | Power & Politics,https://www.youtube.com/@CBCNews,CBC News,31000,31K views,2026-01-15 05:32:06.648234+00:00,4 months ago,Minneapolis city coun. Aurin Chowdhury says she saw immigration agents use chemical irritants while taking enforcement actions...,2026-05-15 05:32:06.648234+00:00
https://www.youtube.com/shorts/Sa5jX9CBJNM,Can ICE detain US Citizens? #immigration #deportation,https://www.youtube.com/@SanDiegoImmigrationlawyer,U.S Immigration with Attorney Jacob  Sapochnick,28000,28K views,2025-09-17 05:32:06.649324+00:00,8 months ago,Can ICE detain US Citizens? # immigration #deportation Need Immigration Assistance or Have Questions? Our experienced team...,2026-05-15 05:32:06.649324+00:00
https://www.youtube.com/shorts/tulzyfpmD68,Can undocumented immigrants travel inside the U.S ? #immigration #immigrants,https://www.youtube.com/@SanDiegoImmigrationlawyer,U.S Immigration with Attorney Jacob  Sapochnick,77000,77K views,2024-05-15 05:32:06.650218+00:00,2 years ago,,2026-05-15 05:32:06.650218+00:00
